train_loss,train_acc,epoch,step,val_loss,val_acc
2.3044610023498535,0.0,0,0,,
2.1636838912963867,0.46875,0,1,,
2.2060248851776123,0.0,0,2,,
2.504044532775879,0.0,0,3,,
2.5159027576446533,0.0,0,4,,
2.5817654132843018,0.0,0,5,,
2.523083209991455,0.0,0,6,,
2.5520832538604736,0.0,0,7,,
2.5454747676849365,0.0,0,8,,
2.600142478942871,0.0,0,9,,
2.535053014755249,0.0,0,10,,
2.500032424926758,0.0,0,11,,
2.5781402587890625,0.0,0,12,,
2.5430805683135986,0.0,0,13,,
2.455962657928467,0.0,0,14,,
2.3886795043945312,0.0,0,15,,
2.3604607582092285,0.0,0,16,,
2.3670477867126465,0.0,0,17,,
2.405428171157837,0.0,0,18,,
2.395000457763672,0.0,0,19,,
2.362933397293091,0.0,0,20,,
2.3139400482177734,0.0,0,21,,
2.328352451324463,0.0,0,22,,
2.318668842315674,0.0,0,23,,
2.3540542125701904,0.0,0,24,,
2.4130594730377197,0.0,0,25,,
2.457533121109009,0.0,0,26,,
2.439497470855713,0.0,0,27,,
2.392461061477661,0.0,0,28,,
2.3872458934783936,0.0,0,29,,
2.3798978328704834,0.0,0,30,,
2.461531400680542,0.0,0,31,,
2.3690648078918457,0.0,0,32,,
2.278158187866211,0.0,0,33,,
2.263366222381592,0.625,0,34,,
2.344241142272949,0.0,0,35,,
2.2748355865478516,0.0,0,36,,
2.370372772216797,0.0,0,37,,
2.2714271545410156,0.0,0,38,,
2.492448091506958,0.0,0,39,,
2.384927272796631,0.0,0,40,,
2.452530860900879,0.0,0,41,,
2.387701988220215,0.0,0,42,,
2.4517369270324707,0.0,0,43,,
2.419314384460449,0.0,0,44,,
2.368333578109741,0.0,0,45,,
2.3421576023101807,0.0,0,46,,
2.3210108280181885,0.0,0,47,,
2.3646299839019775,0.0,0,48,,
2.321974992752075,0.0,0,49,,
2.4334652423858643,0.0,0,50,,
2.3615658283233643,0.0,0,51,,
2.4841723442077637,0.0,0,52,,
2.403546094894409,0.0,0,53,,
2.3298425674438477,0.0,0,54,,
2.3337559700012207,0.0,0,55,,
2.3686418533325195,0.0,0,56,,
2.400624990463257,0.0,0,57,,
2.3382070064544678,0.0,0,58,,
2.307316541671753,0.0,0,59,,
2.3785836696624756,0.0,0,60,,
2.35355806350708,0.0,0,61,,
2.3466126918792725,0.0,0,62,,
2.3773300647735596,0.0,0,63,,
2.3737480640411377,0.0,0,64,,
2.3883299827575684,0.0,0,65,,
2.393723487854004,0.0,0,66,,
2.4154841899871826,0.0,0,67,,
2.434088945388794,0.09375,0,68,,
2.1904640197753906,0.0,0,69,,
2.1346709728240967,1.0,0,70,,
2.2669904232025146,0.3125,0,71,,
2.333204507827759,0.0,0,72,,
2.2064905166625977,0.0,0,73,,
2.2347517013549805,0.0,0,74,,
1.9473947286605835,0.0,0,75,,
2.1720380783081055,0.09375,0,76,,
1.8879055976867676,0.0,0,77,,
1.9793955087661743,0.0,0,78,,
2.463599681854248,0.0,0,79,,
1.6448636054992676,0.0,0,80,,
2.365004062652588,0.0,0,81,,
1.6498831510543823,0.0,0,82,,
1.9098520278930664,0.25,0,83,,
1.6469067335128784,0.0,0,84,,
1.5232210159301758,0.65625,0,85,,
1.871934175491333,0.0,0,86,,
1.4196038246154785,0.0,0,87,,
2.4398603439331055,0.03125,0,88,,
1.9875071048736572,0.0,0,89,,
1.9458974599838257,0.4375,0,90,,
2.2645153999328613,0.0,0,91,,
1.9112694263458252,0.0,0,92,,
2.2923030853271484,0.0,0,93,,
